Text,Count,Weight
Cameron,6,0.000357377
Casuarina,6,0.000357377
Cavendish,6,0.000357377
Chapel,6,0.000357377
Charlotte,6,0.000357377
College,6,0.000357377
Compton,6,0.000357377
Cook,6,0.000357377
Tha,6,0.000357377
Curtis,6,0.000357377
Darcy,6,0.000357377
De,6,0.000357377
Devon,6,0.000357377
Dudley,6,0.000357377
Elm,6,0.000357377
Edgar,6,0.000357377
Eighth,6,0.000357377
Ellen,6,0.000357377
Elliot,6,0.000357377
Fleming,6,0.000357377
Frederick,6,0.000357377
Grandview,6,0.000357377
Gray,6,0.000357377
Harold,6,0.000357377
Harrison,6,0.000357377
Hibiscus,6,0.000357377
Highland,6,0.000357377
Horizon,6,0.000357377
Joseph,6,0.000357377
Kessels,6,0.000357377
Killarney,6,0.000357377
Kingsford,6,0.000357377
Lambert,6,0.000357377
Lamington,6,0.000357377
Lancaster,6,0.000357377
Laura,6,0.000357377
Lawson,6,0.000357377
Lilly,6,0.000357377
Lomandra,6,0.000357377
Love,6,0.000357377
Lucy,6,0.000357377
Macarthur,6,0.000357377
Market,6,0.000357377
Mayfair,6,0.000357377
Michael,6,0.000357377
Miller,6,0.000357377
Montpelier,6,0.000357377
Murphy,6,0.000357377
Norfolk,6,0.000357377
Oakmont,6,0.000357377
Skyline,6,0.000357377
Paperbark,6,0.000357377
Peter,6,0.000357377
Pioneer,6,0.000357377
Poinciana,6,0.000357377
Redwood,6,0.000357377
Regent,6,0.000357377
Riverview,6,0.000357377
Roghan,6,0.000357377
Rose,6,0.000357377
Sarah,6,0.000357377
Vincent,6,0.000357377
Stephens,6,0.000357377
Tenth,6,0.000357377
Toohey,6,0.000357377
Trinity,6,0.000357377
Victor,6,0.000357377
Wakefield,6,0.000357377
Walter,6,0.000357377
Waverley,6,0.000357377
Adelaide,5,0.000297814
Agnew,5,0.000297814
Anderson,5,0.000297814
Andrews,5,0.000297814
Ann,5,0.000297814
Ash,5,0.000297814
Ayr,5,0.000297814
Balmain,5,0.000297814
Bank,5,0.000297814
Belgrave,5,0.000297814
Blue,5,0.000297814
Brown,5,0.000297814
Bruce,5,0.000297814
Burns,5,0.000297814
Cassia,5,0.000297814
Castle,5,0.000297814
Chesterfield,5,0.000297814
Clifford,5,0.000297814
Collins,5,0.000297814
Cooper,5,0.000297814
Coronation,5,0.000297814
Crawford,5,0.000297814
Cunningham,5,0.000297814
Curtin,5,0.000297814
Cypress,5,0.000297814
Daintree,5,0.000297814
Daniel,5,0.000297814
Darling,5,0.000297814
Days,5,0.000297814
Willow,5,0.000297814
Dixon,5,0.000297814
Donaldson,5,0.000297814
Newnham,5,0.000297814
Eliza,5,0.000297814
Holt,5,0.000297814
Essex,5,0.000297814
Ethel,5,0.000297814
Eton,5,0.000297814
Eucalypt,5,0.000297814
Fairfield,5,0.000297814
Wren,5,0.000297814
Pocket,5,0.000297814
Flower,5,0.000297814
Forbes,5,0.000297814
Ford,5,0.000297814
Frangipani,5,0.000297814
Freeman,5,0.000297814
French,5,0.000297814
Garden,5,0.000297814
Gardenia,5,0.000297814
Gertrude,5,0.000297814
Gibson,5,0.000297814
Glenwood,5,0.000297814
Grand,5,0.000297814
Grange,5,0.000297814
Grant,5,0.000297814
Grosvenor,5,0.000297814
Harding,5,0.000297814
Harvey,5,0.000297814
Hillcrest,5,0.000297814
Honour,5,0.000297814
Hope,5,0.000297814
Hutton,5,0.000297814
Jack,5,0.000297814
Memorial,5,0.000297814
Jasmine,5,0.000297814
Johnston,5,0.000297814
Juniper,5,0.000297814
Kauri,5,0.000297814
Kelvin,5,0.000297814
Lauren,5,0.000297814
Lawrence,5,0.000297814
Lily,5,0.000297814
Lincoln,5,0.000297814
Lindsay,5,0.000297814
Link,5,0.000297814
Lloyd,5,0.000297814
Lorikeet,5,0.000297814
Lucinda,5,0.000297814
Lutwyche,5,0.000297814
Macgregor,5,0.000297814
Mains,5,0.000297814
Marie,5,0.000297814
Martin,5,0.000297814
Mcilwraith,5,0.000297814
Melrose,5,0.000297814
Mornington,5,0.000297814
Mount,5,0.000297814
Nebo,5,0.000297814
Petrie,5,0.000297814
Munro,5,0.000297814
Napier,5,0.000297814
Nathan,5,0.000297814
Oconnell,5,0.000297814
Progress,5,0.000297814
Toombul,5,0.000297814
Osprey,5,0.000297814
Panorama,5,0.000297814
Parker,5,0.000297814
Phillips,5,0.000297814
Raff,5,0.000297814
Reid,5,0.000297814
Rise,5,0.000297814
Roy,5,0.000297814
Rosella,5,0.000297814
Sandpiper,5,0.000297814
Saunders,5,0.000297814
Seventh,5,0.000297814
Sherwood,5,0.000297814
Sir,5,0.000297814
Sovereign,5,0.000297814
Stevenson,5,0.000297814
Stirling,5,0.000297814
Stoneleigh,5,0.000297814
Summit,5,0.000297814
Sumners,5,0.000297814
Susan,5,0.000297814
Sussex,5,0.000297814
Swan,5,0.000297814
Sydney,5,0.000297814
Thorpe,5,0.000297814
Toorak,5,0.000297814
Tristania,5,0.000297814
Trouts,5,0.000297814
Twenty,5,0.000297814
Underwood,5,0.000297814
Union,5,0.000297814
Vale,5,0.000297814
Warren,5,0.000297814
Water,5,0.000297814
Wentworth,5,0.000297814
Westminster,5,0.000297814
Whites,5,0.000297814
Wills,5,0.000297814
Abbott,4,0.000238251
Addison,4,0.000238251
Albany,4,0.000238251
Albion,4,0.000238251
Alexander,4,0.000238251
Alpine,4,0.000238251
Annerley,4,0.000238251
Anzac,4,0.000238251
Appel,4,0.000238251
Appleby,4,0.000238251
Archerfield,4,0.000238251
Arnold,4,0.000238251
Aspen,4,0.000238251
Bailey,4,0.000238251
Barrett,4,0.000238251
Bayswater,4,0.000238251
Beaufort,4,0.000238251
Belmont,4,0.000238251
Ben,4,0.000238251
Lomond,4,0.000238251
Bennett,4,0.000238251
Bennetts,4,0.000238251
Bentley,4,0.000238251
Best,4,0.000238251
Blaxland,4,0.000238251
Bonney,4,0.000238251
Boston,4,0.000238251
Bottlebrush,4,0.000238251
Bowman,4,0.000238251
Box,4,0.000238251
Boyd,4,0.000238251
Bradley,4,0.000238251
Bristol,4,0.000238251
Brushbox,4,0.000238251
Burnett,4,0.000238251
Butler,4,0.000238251
Camborne,4,0.000238251
Canning,4,0.000238251
Canterbury,4,0.000238251
Carlton,4,0.000238251
Carlyle,4,0.000238251
Carnarvon,4,0.000238251
Carnegie,4,0.000238251
Carnoustie,4,0.000238251
Cascade,4,0.000238251
Centenary,4,0.000238251
Charles,4,0.000238251
Chermside,4,0.000238251
Chestnut,4,0.000238251
Churchill,4,0.000238251
Clara,4,0.000238251
Coachwood,4,0.000238251
Colvillea,4,0.000238251
Conifer,4,0.000238251
Constance,4,0.000238251
Coolibah,4,0.000238251
Coopers,4,0.000238251
Cotton,4,0.000238251
Coventry,4,0.000238251
Cowper,4,0.000238251
Crest,4,0.000238251
Cribb,4,0.000238251
Cromwell,4,0.000238251
Cullen,4,0.000238251
Dampier,4,0.000238251
Dawn,4,0.000238251
Deakin,4,0.000238251
Denham,4,0.000238251
Doris,4,0.000238251
Dover,4,0.000238251
Doyle,4,0.000238251
Drury,4,0.000238251
Drysdale,4,0.000238251
Duncan,4,0.000238251
Dundee,4,0.000238251
Farm,4,0.000238251
Earl,4,0.000238251
Earnshaw,4,0.000238251
Arterial,4,0.000238251
Eastwood,4,0.000238251
Edinburgh,4,0.000238251
Edmondstone,4,0.000238251
Emily,4,0.000238251
Enoggera,4,0.000238251
Eucalyptus,4,0.000238251
